Galaxy,RA,DEC,Distance,Distance_u,Distance_d,v_los,v_los_u,v_los_d,mu_alpha,mu_alpha_u,mu_alpha_d,mu_delta,mu_delta_u,mu_delta_d,X,Y,Z,v_X,v_Y,v_Z
Willman1,162.3436,51.0501,17.9,-0.4,0.4,-14.1,-1.0,1.0,0.28,-0.07,0.06,-1.11,-0.07,0.08,-27.587581723848135,7.608461616894905,31.806803634934383,88.79714325955528,70.82085205725382,80.24955497831407
LeoA,149.86042,30.74639,24.28,-0.05,0.05,26.2,-0.9,1.0,-0.06,-0.09,0.09,-0.06,-0.08,0.09,-427.02281366851327,-127.27736971617207,568.8730671166273,-120.05206023955759,16.4862513322359,-107.92402262964401
IC1613,16.19917,2.11778,24.4,-0.01,0.01,-234.0,-0.6,0.6,0.04,-0.02,0.02,0.01,-0.01,0.01,-246.42485298172622,286.56095369849953,-660.7357085661391,-50.95304634253058,104.70967327771127,236.14262689596146
NGC6822,296.23583,-14.78917,23.36,-0.17,0.17,-54.5,-1.7,1.7,-0.06,-0.01,0.01,-0.07,-0.01,0.01,394.75943980027427,190.91886911308984,-148.23679905582705,65.1723295869565,55.71212837122071,79.66460564998157
Peg-dIrr,352.15125,14.74306,24.4,-0.2,0.2,-179.5,-1.5,1.5,0.15,-0.14,0.13,0.07,-0.11,0.12,-53.98054927928254,547.8503219470033,-522.6892990940303,-570.8695497707265,63.65957174485053,125.55767134478715
WLM,0.4925,-15.46083,24.85,-0.08,0.08,-130.0,-1.0,1.0,0.09,-0.03,0.03,-0.07,-0.02,0.02,56.06218644205204,255.14931860105182,-895.3953241821118,-195.95985396177213,-229.77380862805313,-8.201862651849536
Sg-dIrr,292.49583,-17.68083,25.14,-0.18,0.18,-78.4,-1.6,1.6,0.11,-0.18,0.19,-0.37,-0.17,0.17,947.2566192526839,367.7861726675749,-299.10410519449863,142.51507095007926,-1292.152075009248,-1186.8278966606863
UGC4879,139.00917,52.84,25.61,-0.13,0.13,-29.2,-1.6,1.6,-0.0,-0.11,0.11,-0.04,-0.09,0.09,-944.0362932511293,256.6254667639556,901.240425127462,-1.3440556959646814,-4.001166422717984,23.330271614110853
NGC3109,150.77875,-26.15972,25.57,-0.08,0.08,403.0,-2.0,2.0,-0.04,-0.03,0.03,-0.01,-0.03,0.03,-172.57394979115622,-1184.8431479316673,509.4789996385463,-197.43335747120898,-179.20028822574545,-25.00360544545131
SextansA,152.75333,-4.69278,25.77,-0.12,0.12,324.0,-1.0,1.0,-0.15,-0.04,0.05,-0.03,-0.05,0.04,-450.6126508417907,-1000.6282352442189,913.9864288617206,-798.5946738283615,-291.26384380036677,-469.60061910931535
M33,23.46208,30.66028,24.8,-0.05,0.05,-180.0,-3.0,3.0,0.062,-0.004,0.004,0.011,-0.003,0.003,-545.5283695565813,564.0520870024595,-474.2227720391616,-101.99917875889201,-1.5735690608558999,184.6578327264258
SextansB,150.00042,5.33222,25.8,-0.12,0.12,304.0,-1.0,1.0,-0.29,-0.16,0.16,-0.28,-0.17,0.17,-633.3085547402826,-835.6002455313209,1000.1538158266213,-823.2074354742042,-1745.2133248537286,-1740.0172926264565
