#R[kpc]	Baryon[km/s]	CDM[km/s]	QUMOND[km/s]	MOG[km/s]
34.080000	96.176083	199.130217	202.930611	202.058290
34.140000	96.090597	199.094855	202.942696	202.050096
34.200000	96.005386	199.059694	202.955173	202.041827
34.260000	95.920454	199.024734	202.968046	202.033483
34.320000	95.835799	198.989976	202.981319	202.025067
34.380000	95.751423	198.955423	202.994997	202.016579
34.440000	95.667328	198.921075	203.009086	202.008020
34.500000	95.583515	198.886933	203.023591	201.999391
34.560000	95.499986	198.853000	203.038517	201.990692
34.620000	95.416742	198.819275	203.053870	201.981926
34.680000	95.333784	198.785762	203.069656	201.973093
34.740000	95.251115	198.752462	203.085881	201.964194
34.800000	95.168737	198.719375	203.102552	201.955232
34.860000	95.086651	198.686505	203.119676	201.946206
34.920000	95.004860	198.653852	203.137259	201.937119
34.980000	94.923368	198.621419	203.155310	201.927972
35.040000	94.842175	198.589208	203.173837	201.918766
35.100000	94.761286	198.557220	203.192847	201.909503
35.160000	94.680702	198.525458	203.212350	201.900186
35.220000	94.600429	198.493924	203.232355	201.890815
35.280000	94.520468	198.462620	203.252873	201.881394
35.340000	94.440825	198.431550	203.273912	201.871923
35.400000	94.361503	198.400715	203.295484	201.862406
35.460000	94.282506	198.370118	203.317602	201.852844
35.520000	94.203840	198.339763	203.340276	201.843240
35.580000	94.125510	198.309651	203.363521	201.833597
35.640000	94.047520	198.279788	203.387351	201.823917
35.700000	93.969878	198.250176	203.411780	201.814204
35.760000	93.892590	198.220819	203.436824	201.804461
35.820000	93.815662	198.191721	203.462500	201.794692
35.880000	93.739102	198.162885	203.488827	201.784899
35.940000	93.662919	198.134318	203.515823	201.775088
36.000000	93.587121	198.106023	203.543511	201.765262
36.060000	93.511719	198.078005	203.571913	201.755426
36.120000	93.436722	198.050271	203.601052	201.745586
36.180000	93.362141	198.022826	203.630957	201.735746
36.240000	93.287991	197.995676	203.661654	201.725913
36.300000	93.214283	197.968829	203.693177	201.716092
36.360000	93.141034	197.942292	203.725557	201.706292
36.420000	93.068259	197.916074	203.758834	201.696519
36.480000	92.995976	197.890184	203.793047	201.686783
36.540000	92.924206	197.864630	203.828241	201.677091
36.600000	92.852970	197.839426	203.864466	201.667456
36.660000	92.782292	197.814580	203.901776	201.657886
36.720000	92.712200	197.790109	203.940232	201.648396
36.780000	92.642724	197.766025	203.979901	201.638999
36.840000	92.573897	197.742346	204.020860	201.629709
36.900000	92.505759	197.719088	204.063192	201.620546
36.960000	92.438349	197.696273	204.106993	201.611527
37.020000	92.371719	197.673923	204.152374	201.602675
37.080000	92.305922	197.652066	204.199457	201.594015
37.140000	92.241021	197.630729	204.248385	201.585575
37.200000	92.177089	197.609947	204.299323	201.577388
37.260000	92.114209	197.589760	204.352460	201.569492
37.320000	92.052479	197.570213	204.408022	201.561932
37.380000	91.992013	197.551359	204.466273	201.554757
37.440000	91.932946	197.533261	204.527526	201.548030
37.500000	91.875440	197.515994	204.592162	201.541823
37.560000	91.819688	197.499647	204.660642	201.536224
37.620000	91.765928	197.484332	204.733534	201.531339
37.680000	91.714450	197.470182	204.811552	201.527300
37.740000	91.665621	197.457368	204.895599	201.524272
37.800000	91.619905	197.446103	204.986849	201.522464
37.860000	91.577901	197.436664	205.086856	201.522146
37.920000	91.540404	197.429420	205.197734	201.523679
37.980000	91.508490	197.424867	205.322449	201.527547
38.040000	91.483661	197.423700	205.465320	201.534430
38.100000	91.468091	197.426924	205.632941	201.545310
38.160000	91.465058	197.436057	205.836403	201.561674
38.220000	91.479790	197.453520	205.893652	201.585889
38.280000	91.521483	197.483642	205.789497	201.622131
